Year;School;Location;Median_VCE_Score
2023;VSL Epping-Lalor-Roxburgh-Thomastown;Thornbury;N/A
2023;VSL Glen Waverley-Carwatha-Mildura;Thornbury;N/A
2023;VSL North Geelong-Matthew Flinders-Werribee-Point Cook;Thornbury;N/A
2023;VSL University-Brunswick-Collingwood;Thornbury;N/A
2023;VSL Westall-South Oakleigh-McKinnon;Thornbury;N/A
2023;Wallan Secondary College;Wallan;21
2023;Wangaratta High School;Wangaratta;28
2023;Wantirna College;Wantirna;29
2023;Warracknabeal Secondary College;Warracknabeal;26
2023;Warragul Regional College;Warragul;25
2023;Warrandyte High School;Warrandyte;24
2023;Warrnambool College;Warrnambool;28
2023;Waverley Christian College Narre Warren South;Narre Warren South;32
2023;Waverley Christian College Wantirna South;Wantirna South;33
2023;Wedderburn College;Wedderburn;28
2023;Wellington Secondary College;Mulgrave;28
2023;Werribee Secondary College;Werribee;28
2023;Wesley College Glen Waverley;Glen Waverley;31
2023;Wesley College St Kilda Rd;Melbourne;31
2023;Westall Secondary College;Clayton South;27
2023;Westbourne Grammar School;Truganina;33
2023;Western Heights College;Hamlyn Heights;22
2023;Western Port Secondary College;Hastings;25
2023;Wheelers Hill Secondary College;Wheelers Hill;26
2023;Whitefriars College;Donvale;32
2023;Whittlesea Secondary College;Whittlesea;22
2023;William Ruthven Secondary College;Reservoir;27
2023;Williamstown High School;Williamstown;32
2023;Wodonga Senior Secondary College;Wodonga;23
2023;Woodleigh School;Langwarrin South;30
2023;Woodmans Hill Secondary College;Ballarat East;29
2023;Wycheproof P-12 College;Wycheproof;29
2023;Wyndham Central Secondary College;Werribee;24
2023;Wyndham Community and Education Centre;Werribee;0
2023;Xavier College;Kew;33
2023;Xin Jin Shan Chinese Language and Culture School;Mount Waverley;N/A
2023;Yarra Hills Secondary College Mooroolbark;Mooroolbark;23
2023;Yarra Hills Secondary College Mount Evelyn;Mount Evelyn;0
2023;Yarra Valley Grammar School;Ringwood;35
2023;Yarram Secondary College;Yarram;26
2023;Yarrawonga College P-12;Yarrawonga;26
2023;Yea High School;Yea;25
2023;Yeshivah College;St Kilda East;34
2023;Yesodei Hatorah College Secondary Campus;Ormond;37
2023;Youth2industry College;South Melbourne;0
